,Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status_KNN,Loan_Status_SVC
0,LP001015,1,1,0,1,0,5720,0,110,360,1,1,1,1
1,LP001022,1,1,1,1,0,3076,1500,126,360,1,1,1,1
2,LP001031,1,1,2,1,0,5000,1800,208,360,1,1,1,1
4,LP001051,1,0,0,0,0,3276,0,78,360,1,1,1,1
5,LP001054,1,1,0,0,1,2165,3422,152,360,1,1,1,1
6,LP001055,2,0,1,0,0,2226,0,59,360,1,3,1,1
7,LP001056,1,1,2,0,0,3881,0,147,360,0,2,1,1
9,LP001067,1,0,0,0,0,2400,2400,123,360,1,3,0,1
10,LP001078,1,0,0,0,0,3091,0,90,360,1,1,1,1
14,LP001096,2,0,0,1,0,4666,0,124,360,1,3,1,1
15,LP001099,1,0,1,1,0,5667,0,131,360,1,1,1,1
16,LP001105,1,1,2,1,0,4583,2916,200,360,1,1,1,1
17,LP001107,1,1,3,1,0,3786,333,126,360,1,3,1,1
18,LP001108,1,1,0,1,0,9226,7916,300,360,1,1,0,0
19,LP001115,1,0,0,1,0,1300,3470,100,180,1,3,1,1
20,LP001121,1,1,1,0,0,1888,1620,48,360,1,1,0,1
21,LP001124,2,0,3,0,0,2083,0,28,180,1,1,1,1
23,LP001135,2,0,0,0,0,3765,0,125,360,1,1,1,1
24,LP001149,1,1,0,1,0,5400,4380,290,360,1,1,0,1
25,LP001153,1,0,0,1,0,0,24000,148,360,0,2,1,0
27,LP001169,1,1,0,1,0,7500,3750,275,360,1,1,1,1
29,LP001176,1,0,0,1,0,2942,2382,125,180,1,1,0,1
30,LP001177,2,0,0,0,0,2478,0,75,360,1,3,1,1
31,LP001183,1,1,2,1,0,6250,820,192,360,1,1,1,1
32,LP001185,1,0,0,1,0,3268,1683,152,360,1,3,1,1
33,LP001187,1,1,0,1,0,2783,2708,158,360,1,1,0,1
34,LP001190,1,1,0,1,0,2740,1541,101,360,1,1,1,1
35,LP001203,1,0,0,1,0,3150,0,176,360,0,3,1,1
37,LP001210,1,1,0,1,1,2267,2792,90,360,1,1,1,1
38,LP001211,1,0,0,1,1,5833,0,116,360,1,1,1,1
39,LP001219,1,0,0,1,0,3643,1963,138,360,1,1,1,1
40,LP001220,1,1,0,1,0,5629,818,100,360,1,1,1,1
41,LP001221,2,0,0,1,0,3644,0,110,360,1,1,1,1
42,LP001226,1,1,0,0,0,1750,2024,90,360,1,3,1,1
43,LP001230,1,0,0,1,0,6500,2600,200,360,1,3,1,1
44,LP001231,2,0,0,1,0,3666,0,84,360,1,1,1,1
47,LP001242,1,0,0,0,0,2356,1902,108,360,1,3,0,1
49,LP001270,1,1,3,0,1,8000,250,187,360,1,3,1,1
50,LP001284,1,1,1,1,0,2419,1707,124,360,1,1,1,1
52,LP001291,1,1,1,1,0,3500,3077,160,360,1,3,0,1
53,LP001298,1,1,2,1,0,4116,1000,30,180,1,1,1,1
54,LP001312,1,1,0,0,1,5293,0,92,360,1,1,1,1
55,LP001313,1,0,0,1,0,2750,0,130,360,0,1,1,1
56,LP001317,2,0,0,0,0,4402,0,130,360,1,2,1,1
57,LP001321,1,1,2,1,0,3613,3539,134,180,1,3,0,1
58,LP001323,2,1,2,1,0,2779,3664,176,360,0,3,1,0
59,LP001324,1,1,3,1,0,4720,0,90,180,1,3,1,1
60,LP001332,1,1,0,0,0,2415,1721,110,360,1,3,1,1
61,LP001335,1,1,0,1,1,7016,292,125,360,1,1,1,1
62,LP001338,2,0,2,1,0,4968,0,189,360,1,3,1,1
63,LP001347,2,0,0,1,0,2101,1500,108,360,0,2,1,1
64,LP001348,1,1,3,0,0,4490,0,125,360,1,1,1,1
65,LP001351,1,1,0,1,0,2917,3583,138,360,1,3,1,1
66,LP001352,1,1,0,0,0,4700,0,135,360,0,3,1,1
67,LP001358,1,1,0,1,0,3445,0,130,360,0,3,1,1
68,LP001359,1,1,0,1,0,7666,0,187,360,1,3,1,1
69,LP001361,1,1,0,1,0,2458,5105,188,360,0,2,1,0
71,LP001368,1,0,0,1,0,4463,0,65,360,1,3,1,1
73,LP001380,1,1,0,1,1,3900,2094,232,360,1,2,1,1
74,LP001386,1,1,0,0,0,4750,3583,144,360,1,3,1,1
75,LP001400,1,0,0,1,0,3583,3435,155,360,1,1,0,1
76,LP001407,1,1,0,1,0,3189,2367,186,360,1,1,1,1
77,LP001413,1,0,0,1,1,6356,0,50,360,1,2,1,1
79,LP001419,2,1,0,1,0,7950,0,185,360,1,1,1,1
80,LP001420,1,1,3,1,0,3829,1103,163,360,0,1,1,1
81,LP001428,1,1,3,1,0,72529,0,360,360,1,1,1,0
82,LP001445,1,1,2,0,0,4136,0,149,480,0,2,1,1
83,LP001446,1,1,0,1,0,8449,0,257,360,1,2,1,1
84,LP001450,1,1,0,1,0,4456,0,131,180,0,3,1,1
85,LP001452,1,1,2,1,0,4635,8000,102,180,1,2,1,0
86,LP001455,1,1,0,1,0,3571,1917,135,360,1,1,1,1
87,LP001466,1,0,0,1,0,3066,0,95,360,1,3,1,1
88,LP001471,1,0,2,0,0,3235,2015,77,360,1,3,1,1
91,LP001483,1,1,3,1,0,13518,0,390,360,1,2,1,1
92,LP001486,1,1,1,1,0,4364,2500,185,360,1,3,1,1
93,LP001490,1,1,2,0,0,4766,1646,100,360,1,3,1,1
94,LP001496,1,1,1,1,0,4609,2333,123,360,0,3,1,1
95,LP001499,2,1,3,1,0,6260,0,110,360,1,3,1,1
96,LP001500,1,1,1,1,0,3333,4200,256,360,1,1,1,1
97,LP001501,1,1,0,1,0,3500,3250,140,360,1,3,0,1
98,LP001517,1,1,3,1,0,9719,0,61,360,1,1,1,1
100,LP001534,1,0,0,1,0,4452,0,131,360,1,2,1,1
102,LP001547,1,1,1,1,0,3901,0,116,360,1,1,1,1
103,LP001548,1,1,2,0,0,2687,0,50,180,1,2,1,1
105,LP001561,2,1,0,1,0,3417,1287,200,360,1,3,1,1
107,LP001567,1,1,3,1,0,4513,0,120,360,1,2,1,1
108,LP001568,1,1,0,1,0,4500,0,140,360,1,3,1,1
109,LP001573,1,1,0,0,0,4523,1350,165,360,1,1,1,1
110,LP001584,2,0,0,1,1,4742,0,108,360,1,3,1,1
112,LP001589,2,0,0,1,0,3417,0,102,360,1,1,1,1
113,LP001591,2,1,2,1,0,2922,3396,122,360,1,3,1,1
114,LP001599,1,1,0,1,0,4167,4754,160,360,1,2,1,1
116,LP001607,2,0,0,0,0,0,1760,180,360,1,3,1,1
118,LP001613,2,0,0,1,0,1762,2666,104,360,0,1,1,1
119,LP001622,1,1,2,1,0,724,3510,213,360,0,2,1,1
120,LP001627,1,0,0,1,0,3125,0,65,360,1,1,1,1
121,LP001650,1,1,0,1,0,2333,3803,146,360,1,2,1,1
122,LP001651,1,1,3,1,0,3350,1560,135,360,1,1,1,1
123,LP001652,1,0,0,1,0,2500,6414,187,360,0,2,1,0
124,LP001655,2,0,0,1,0,12500,0,300,360,0,1,1,1
125,LP001660,1,0,0,1,0,4667,0,120,360,1,3,1,1
126,LP001662,1,0,0,1,0,6500,0,71,360,0,1,1,1
127,LP001663,1,1,2,1,0,7500,0,225,360,1,1,1,1
128,LP001667,1,0,0,1,0,3073,0,70,180,1,1,1,1
